Platform,Nama Toko,Rating Produk,Produk Terjual,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Wilayah Toko,Link Pembelian
Tokopedia,Tech Island,5.0,7,iPhone 11 Series,iPhone 11,128GB,N/A,Rp7.498.000,Malang,https://www.tokopedia.com/techisland/second-iphone-11-128gb-fullset-original-gransi-apple-mulus-like-new-purple?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch%26whid%3D16300519
Tokopedia,Move And Win,0.0,1,iPhone 11 Series,iPhone 11,64GB,N/A,Rp3.950.000,Kab. Banyumas,https://www.tokopedia.com/mwgrup08/apple-iphone-11-second-inter-64gb-128gb-1731752122091538060?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,jetu store,5.0,1,iPhone 11 Series,iPhone 11 Pro,256GB,N/A,Rp7.506.000,Kab. Tasikmalaya,https://www.tokopedia.com/tokojeyjey/iphone-11-pro-second-fullset-darkgray-256-gb?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Level Store,5.0,1,iPhone 11 Series,iPhone 11 Pro,256GB,92,Rp7.600.000,Jakarta,https://www.tokopedia.com/level-store/iphone-11-pro-256gb-second?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Mughniphone,5.0,1,iPhone 11 Series,iPhone 11 Pro,64GB,N/A,Rp6.700.000,Jakarta,https://www.tokopedia.com/mughniphone/iphone-11-pro-64gb-smartfren-only-second-bekas-pakai-normal-fullset?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Abadijaya Ponsel,5.0,5,iPhone 11 Series,iPhone 11,128GB,N/A,Rp8.000.000,Jakarta Selatan,https://www.tokopedia.com/abadijayaponsel/iphone-11-128gb-second-ibox-1730896514989917615?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,bg venn,0.0,80,iPhone 11 Series,iPhone 11,64GB,N/A,Rp820.000,Kab. Pandeglang,https://www.tokopedia.com/bg-venn/ibox-iphone-11-bergaransi-resmi-indonesia-1732448443181270100?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Mobile Phone Shop BEC,4.9,100,iPhone 11 Series,iPhone 11,256GB,N/A,Rp4.055.000,Bandung,https://www.tokopedia.com/mobilephonebec/iphone-11-64-128-256-gb-second-99-like-new-garansi-ibox-inter-white-64-gb-inter-cefe5?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,Cyrus Cell BEC,5.0,100,iPhone 11 Series,iPhone 11,64GB,85,Rp3.965.000,Bandung,https://www.tokopedia.com/cyruscelluler/iphone-11-64gb-128gb-256gb-second-like-new-fullset-original-bergaransi-cyruscellbec-1731005973939455519?extParam=ivf%3Dtrue%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
Tokopedia,aadnann shop,5.0,8,iPhone 11 Series,iPhone 11,64GB,N/A,Rp760.000,Jakarta Selatan,https://www.tokopedia.com/twentyeightt/iphone-11-64gb-second?extParam=ivf%3Dfalse%26keyword%3Diphone+11+bekas%26search_id%3D2026072213511075639EBFFD530F3B8MYP%26src%3Dsearch
